"module_accession","completeness","pathway_name","pathway_class","matching_ko","missing_ko"
"M00001","100.0","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K01623,K01803,K01689,K00873,K00927,K00845,K00134,K01834,K00850,K01810",""
"M00002","100.0","Glycolysis, core module involving three-carbon compounds","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K01803,K01689,K00873,K00134,K01834,K00927",""
"M00003","100.0","Gluconeogenesis, oxaloacetate => fructose-6P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K01623,K03841,K01834,K01803,K01689,K00927,K00134,K01596",""
"M00004","100.0","Pentose phosphate pathway (Pentose phosphate cycle)","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00616,K00033,K00036,K01807,K00615,K01057,K01810,K01783",""
"M00005","100.0","PRPP biosynthesis, ribose 5P => PRPP","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00948",""
"M00006","100.0","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00033,K01057,K00036",""
"M00007","100.0","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00616,K01807,K00615,K01783",""
"M00008","100.0","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K01057,K00036,K01690,K01625",""
"M00009","100.0","Citrate cycle (TCA cycle, Krebs cycle)","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00242,K00382,K00240,K01681,K01902,K00024,K00239,K00164,K00241,K01647,K01676,K00658,K00031,K01903",""
"M00010","100.0","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00031,K01681,K01647",""
"M00011","100.0","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00242,K00382,K00240,K00024,K01902,K00239,K00164,K00241,K01676,K00658,K01903",""
"M00012","100.0","Glyoxylate cycle","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01681,K01647,K00024,K01638,K01637",""
