OTU ID	taxonomy	taxid	AH	CP	EP	TB
2614	sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae	134623	2.0	0.0	1.0	0.0
4413	sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Adhaeribacter	299566	2.0	0.0	0.0	1.0
5608	sk__Bacteria;k__;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae	72294	0.0	1.0	0.0	0.0
5646	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Altererythrobacter	361177	1.0	0.0	1.0	0.0
5820	sk__Bacteria	2	23.0	27.0	23.0	31.0
5882	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_moraviensis	321662	3.0	6.0	11.0	1.0
7234	sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XII._Incertae_Sedis;g__Fusibacter	76008	0.0	2.0	0.0	0.0
7909	sk__Eukaryota;k__;p__Cercozoa;c__Thecofilosea;o__Cryomonadida;f__Rhogostomidae;g__Rhogostoma	981201	1.0	1.0	0.0	0.0
8060	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	82115	2.0	0.0	0.0	1.0
9760	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria	28211	8.0	4.0	3.0	4.0
10516	sk__Bacteria;k__;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae;g__Luteitalea	2004797	0.0	0.0	1.0	0.0
10871	sk__Bacteria;k__;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	588673	0.0	0.0	0.0	1.0
11114	sk__Bacteria;k__;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Sulfuricurvum	286130	0.0	1.0	0.0	0.0
12356	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter	1742993	1.0	0.0	0.0	0.0
13581	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Chujaibacter	1931224	0.0	0.0	0.0	1.0
14613	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Rheinheimera	67575	1.0	0.0	0.0	0.0
15140	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Aestuariimicrobium	396388	0.0	0.0	0.0	1.0
15892	sk__Bacteria;k__;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__Balneola;s__Balneola_sp._EhC07	1849360	0.0	0.0	0.0	2.0
15893	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter	75309	0.0	0.0	0.0	3.0
18086	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae	1706371	3.0	0.0	1.0	0.0
19450	sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	28138	0.0	1.0	0.0	0.0
19617	sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Pajaroellobacter	1882917	0.0	1.0	0.0	0.0
20255	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae	85030	0.0	0.0	0.0	1.0
20337	sk__Bacteria;k__;p__Candidatus_Nomurabacteria	1752729	1.0	0.0	0.0	0.0
21561	sk__Bacteria;k__;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas	173479	6.0	0.0	0.0	0.0
21739	sk__Bacteria;k__;p__Verrucomicrobia	74201	0.0	1.0	0.0	0.0
23045	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	49546	2.0	1.0	1.0	2.0
23596	sk__Bacteria;k__;p__Actinobacteria	201174	1.0	0.0	2.0	2.0
23699	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Dietziaceae;g__Dietzia	37914	0.0	0.0	0.0	1.0
24850	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria	28216	9.0	1.0	0.0	2.0
25778	sk__Eukaryota;k__Fungi	4751	0.0	2.0	0.0	0.0
25886	sk__Bacteria;k__;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter	263370	3.0	0.0	0.0	0.0
27045	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	68	2.0	0.0	0.0	5.0
27737	sk__Eukaryota;k__;p__;c__;o__Rotosphaerida;f__Nucleariidae;g__Nuclearia	154967	0.0	1.0	0.0	0.0
28264	sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae	1914233	2.0	0.0	0.0	0.0
28480	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Candidimonas;s__Candidimonas_bauzanensis	658167	0.0	0.0	0.0	1.0
29440	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola	332102	0.0	1.0	0.0	0.0
30636	sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae	1748772	3.0	0.0	1.0	0.0
31014	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	1839	0.0	0.0	1.0	5.0
31015	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salinimicrobium	561367	0.0	0.0	1.0	2.0
31237	sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae	292625	0.0	0.0	0.0	1.0
31915	sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Acetoanaerobium	186831	0.0	2.0	0.0	0.0
33809	sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Domibacillus	1433999	0.0	0.0	0.0	1.0
33966	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	20	2.0	0.0	0.0	1.0
33984	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	206389	0.0	0.0	1.0	0.0
34084	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales	85013	1.0	0.0	0.0	1.0
34422	sk__Bacteria;k__;p__Nitrospirae;c__Nitrospira	203693	0.0	0.0	0.0	1.0
34751	sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter	84567	2.0	1.0	1.0	6.0
35429	sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae	1853232	1.0	0.0	0.0	2.0
36204	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales	1775403	0.0	0.0	0.0	1.0
36281	sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfocapsa	53318	0.0	1.0	0.0	0.0
38824	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	403	0.0	0.0	0.0	2.0
