"9494","IPR036388","Winged helix-like DNA-binding domain superfamily"
"5320","IPR013785","Aldolase-type TIM barrel"
"4539","IPR003439","ABC transporter-like"
"3881","IPR036188","FAD/NAD(P)-binding domain superfamily"
"3822","IPR036890","Histidine kinase/HSP90-like ATPase superfamily"
"3810","IPR029058","Alpha/Beta hydrolase fold"
"3714","IPR011990","Tetratricopeptide-like helical domain superfamily"
"3635","IPR001789","Signal transduction response regulator, receiver domain"
"3548","IPR014729","Rossmann-like alpha/beta/alpha sandwich fold"
"3118","IPR015421","Pyridoxal phosphate-dependent transferase, major domain"
"2972","IPR013783","Immunoglobulin-like fold"
"2956","IPR036942","TonB-dependent receptor-like, beta-barrel domain superfamily"
"2758","IPR015422","Pyridoxal phosphate-dependent transferase domain 1"
"2747","IPR003594","Histidine kinase/HSP90-like ATPase"
"2573","IPR000531","TonB-dependent receptor-like, beta-barrel"
"2433","IPR029044","Nucleotide-diphospho-sugar transferases"
"2220","IPR037066","TonB-dependent receptor, plug domain superfamily"
"2213","IPR012910","TonB-dependent receptor, plug domain"
"2201","IPR002347","Short-chain dehydrogenase/reductase SDR"
"2150","IPR001036","Acriflavin resistance protein"
"2126","IPR014710","RmlC-like jelly roll fold"
"2121","IPR004358","Signal transduction histidine kinase-related protein, C-terminal"
"2025","IPR036397","Ribonuclease H superfamily"
"1996","IPR005119","LysR, substrate-binding"
"1929","IPR011701","Major facilitator superfamily"
"1751","IPR023214","HAD superfamily"
"1748","IPR017871","ABC transporter, conserved site"
"1742","IPR000847","Transcription regulator HTH, LysR"
"1698","IPR035906","MetI-like superfamily"
"1630","IPR003661","Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"
"1518","IPR013762","Integrase-like, catalytic domain superfamily"
"1517","IPR026444","Secretion system C-terminal sorting domain"
"1512","IPR000160","GGDEF domain"
"1489","IPR000014","PAS domain"
"1479","IPR016039","Thiolase-like"
"1454","IPR000182","GNAT domain"
"1401","IPR000515","ABC transporter type 1, transmembrane domain MetI-like"
"1331","IPR000873","AMP-dependent synthetase/ligase"
"1330","IPR015943","WD40/YVTN repeat-like-containing domain superfamily"
"1322","IPR018060","DNA binding HTH domain, AraC-type"
"1313","IPR027463","Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains"
"1295","IPR042100","Bordetella uptake gene, domain 1"
"1268","IPR029062","Class I glutamine amidotransferase-like"
"1262","IPR003423","Outer membrane efflux protein"
"1261","IPR042099","AMP-dependent synthetase-like superfamily"
"1257","IPR001650","Helicase, C-terminal"
"1222","IPR005064","Bordetella uptake gene"
"1214","IPR003959","ATPase, AAA-type, core"
"1213","IPR029052","Metallo-dependent phosphatase-like"
"1211","IPR002104","Integrase, catalytic domain"
"1207","IPR032675","Leucine-rich repeat domain superfamily"
"1187","IPR036866","Ribonuclease Z/Hydroxyacylglutathione hydrolase-like"
"1168","IPR001387","Cro/C1-type helix-turn-helix domain"
"1162","IPR007627","RNA polymerase sigma-70 region 2"
"1161","IPR014284","RNA polymerase sigma-70 like domain"
"1129","IPR016162","Aldehyde dehydrogenase, N-terminal"
"1128","IPR001173","Glycosyltransferase 2-like"
"1109","IPR036909","Cytochrome c-like domain superfamily"
"1097","IPR004839","Aminotransferase, class I/classII"
"1083","IPR015590","Aldehyde dehydrogenase domain"
"1054","IPR001647","DNA-binding HTH domain, TetR-type"
"1043","IPR007197","Radical SAM"
"1026","IPR014721","Ribosomal protein S5 domain 2-type fold, subgroup"
"1017","IPR017850","Alkaline-phosphatase-like, core domain superfamily"
"999","IPR023753","FAD/NAD(P)-binding domain"
"973","IPR011042","Six-bladed beta-propeller, TolB-like"
"963","IPR000073","Alpha/beta hydrolase fold-1"
"947","IPR010998","Integrase/recombinase, N-terminal"
"934","IPR029016","GAF-like domain superfamily"
"920","IPR013249","RNA polymerase sigma factor 70, region 4 type 2"
"918","IPR000620","EamA domain"
"916","IPR029068","Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase"
"900","IPR037069","Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily"
"880","IPR035919","EAL domain superfamily"
"861","IPR009075","Acyl-CoA dehydrogenase/oxidase C-terminal"
"851","IPR011545","DEAD/DEAH box helicase domain"
"840","IPR008979","Galactose-binding-like domain superfamily"
"838","IPR012675","Beta-grasp domain superfamily"
"833","IPR001633","EAL domain"
"825","IPR013786","Acyl-CoA dehydrogenase/oxidase, N-terminal"
"820","IPR036737","OmpA-like domain superfamily"
"819","IPR001279","Metallo-beta-lactamase"
"798","IPR001867","OmpR/PhoB-type DNA-binding domain"
"792","IPR016163","Aldehyde dehydrogenase, C-terminal"
"780","IPR001753","Enoyl-CoA hydratase/isomerase"
"776","IPR017896","4Fe-4S ferredoxin-type, iron-sulphur binding domain"
"770","IPR032317","RND efflux pump, membrane fusion protein, barrel-sandwich domain"
"758","IPR012944","RagB/SusD domain"
"756","IPR003660","HAMP domain"
"755","IPR000792","Transcription regulator LuxR, C-terminal"
"746","IPR004843","Calcineurin-like phosphoesterase domain, ApaH type"
"741","IPR001451","Hexapeptide repeat"
"733","IPR036640","ABC transporter type 1, transmembrane domain superfamily"
"728","IPR006665","OmpA-like domain"
"727","IPR006143","RND efflux pump, membrane fusion protein"
"722","IPR001584","Integrase, catalytic core"
"716","IPR001296","Glycosyl transferase, family 1"
"702","IPR006680","Amidohydrolase-related"
"688","IPR023997","TonB-dependent outer membrane protein SusC/RagA, conserved site"
"688","IPR009056","Cytochrome c-like domain"
"677","IPR005225","Small GTP-binding protein domain"
"676","IPR006091","Acyl-CoA oxidase/dehydrogenase, central domain"
"675","IPR004089","Methyl-accepting chemotaxis protein (MCP) signalling domain"
"671","IPR012334","Pectin lyase fold"
"667","IPR001509","NAD-dependent epimerase/dehydratase"
"664","IPR029055","Nucleophile aminohydrolases, N-terminal"
"660","IPR013815","ATP-grasp fold, subdomain 1"
"653","IPR000644","CBS domain"
"650","IPR006073","GTP binding domain"
"649","IPR000086","NUDIX hydrolase domain"
"648","IPR012341","Six-hairpin glycosidase-like superfamily"
"630","IPR002078","RNA polymerase sigma factor 54 interaction domain"
"627","IPR033985","SusD-like, N-terminal"
"622","IPR040442","Pyruvate kinase-like domain superfamily"
"621","IPR015946","K homology domain-like, alpha/beta"
"620","IPR001851","ABC transporter, permease"
"616","IPR001611","Leucine-rich repeat"
"614","IPR036873","Rhodanese-like domain superfamily"
"613","IPR000524","Transcription regulator HTH, GntR"
"612","IPR029039","Flavoprotein-like superfamily"
"611","IPR036514","SGNH hydrolase superfamily"
"609","IPR029026","tRNA (guanine-N1-)-methyltransferase, N-terminal"
"607","IPR029056","Ribokinase-like"
"599","IPR006076","FAD dependent oxidoreductase"
"598","IPR011059","Metal-dependent hydrolase, composite domain superfamily"
"590","IPR036565","Mur-like, catalytic domain superfamily"
"590","IPR000795","Transcription factor, GTP-binding domain"
"581","IPR005814","Aminotransferase class-III"
"569","IPR025110","AMP-binding enzyme, C-terminal domain"
"569","IPR001757","P-type ATPase"
"564","IPR013655","PAS fold-3"
"563","IPR038770","Sodium/solute  symporter  superfamily"
"563","IPR000917","Sulfatase, N-terminal"
"563","IPR000595","Cyclic nucleotide-binding domain"
"548","IPR001638","Solute-binding protein  family 3/N-terminal domain of MltF"
"546","IPR020449","Transcription regulator HTH, AraC- type"
"545","IPR001466","Beta-lactamase-related"
"542","IPR036986","RNA-binding S4 domain superfamily"
"540","IPR019734","Tetratricopeptide repeat"
"538","IPR011527","ABC transporter type 1, transmembrane domain"
"537","IPR036691","Endonuclease/exonuclease/phosphatase superfamily"
"532","IPR000866","Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant"
"530","IPR023404","Radical SAM, alpha/beta horseshoe"
"529","IPR012347","Ferritin-like"
"528","IPR023393","START-like domain superfamily"
"526","IPR029066","PLP-binding barrel"
"521","IPR006597","Sel1-like repeat"
"521","IPR001926","Pyridoxal-phosphate dependent enzyme"
"510","IPR006171","TOPRIM  domain"
"507","IPR008258","Transglycosylase SLT domain 1"
"507","IPR001763","Rhodanese-like domain"
"505","IPR013328","6-phosphogluconate dehydrogenase, domain 2"
"503","IPR036465","von Willebrand factor A-like domain superfamily"
"502","IPR016040","NAD(P)-binding domain"
"494","IPR036615","Mur ligase, C-terminal domain superfamily"
"494","IPR013221","Mur ligase, central"
"493","IPR002052","DNA methylase, N-6 adenine-specific, conserved site"
"490","IPR001460","Penicillin-binding protein, transpeptidase"
"489","IPR017926","Glutamine amidotransferase"
"488","IPR012349","FMN-binding split barrel"
"487","IPR006664","Outer membrane protein, bacterial"
"486","IPR023606","CoA-transferase family III domain superfamily"
"486","IPR006145","Pseudouridine synthase, RsuA/RluA"
"485","IPR006935","Helicase/UvrB, N-terminal"
"482","IPR036393","Acetylglutamate kinase-like superfamily"
"481","IPR001750","NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit"
"481","IPR000192","Aminotransferase class V domain"
"478","IPR003673","CoA-transferase family III"
"475","IPR004045","Glutathione S-transferase, N-terminal"
"473","IPR028098","Glycosyltransferase subfamily 4-like, N-terminal domain"
"473","IPR013154","Alcohol dehydrogenase, N-terminal"
"473","IPR012902","Prokaryotic N-terminal methylation site"
"471","IPR020904","Short-chain dehydrogenase/reductase, conserved site"
"471","IPR002197","DNA binding HTH domain,  Fis-type"
"470","IPR039261","Ferredoxin-NADP reductase (FNR), nucleotide-binding domain"
"467","IPR002933","Peptidase M20"
"464","IPR006683","Thioesterase domain"
"456","IPR016169","FAD-binding, type PCMH, subdomain 2"
"456","IPR000835","MarR-type HTH domain"
"454","IPR003615","HNH nuclease"
"453","IPR013656","PAS fold-4"
"450","IPR006016","UspA"
"448","IPR004360","Glyoxalase/fosfomycin resistance/dioxygenase domain"
"443","IPR023614","Porin domain superfamily"
"443","IPR005835","Nucleotidyl transferase domain"
"442","IPR036770","Ankyrin repeat-containing domain superfamily"
"442","IPR020616","Thiolase, N-terminal"
"442","IPR011055","Duplicated hybrid motif"
"441","IPR000836","Phosphoribosyltransferase domain"
"436","IPR013149","Alcohol dehydrogenase, C-terminal"
"433","IPR041492","Haloacid dehalogenase-like hydrolase"
"428","IPR006674","HD domain"
"428","IPR001375","Peptidase S9, prolyl oligopeptidase, catalytic domain"
