"9401","IPR036388","Winged helix-like DNA-binding domain superfamily"
"6132","IPR003439","ABC transporter-like"
"5556","IPR013785","Aldolase-type TIM barrel"
"5091","IPR036188","FAD/NAD(P)-binding domain superfamily"
"4328","IPR035906","MetI-like superfamily"
"3851","IPR015421","Pyridoxal phosphate-dependent transferase, major domain"
"3822","IPR014729","Rossmann-like alpha/beta/alpha sandwich fold"
"3821","IPR029058","Alpha/Beta hydrolase fold"
"3343","IPR000515","ABC transporter type 1, transmembrane domain MetI-like"
"3319","IPR015422","Pyridoxal phosphate-dependent transferase domain 1"
"3211","IPR011701","Major facilitator superfamily"
"2962","IPR036890","Histidine kinase/HSP90-like ATPase superfamily"
"2435","IPR002347","Short-chain dehydrogenase/reductase SDR"
"2417","IPR001789","Signal transduction response regulator, receiver domain"
"2218","IPR029044","Nucleotide-diphospho-sugar transferases"
"2112","IPR017871","ABC transporter, conserved site"
"2041","IPR016162","Aldehyde dehydrogenase, N-terminal"
"1987","IPR003594","Histidine kinase/HSP90-like ATPase"
"1986","IPR015590","Aldehyde dehydrogenase domain"
"1834","IPR023214","HAD superfamily"
"1760","IPR013783","Immunoglobulin-like fold"
"1576","IPR000182","GNAT domain"
"1548","IPR014710","RmlC-like jelly roll fold"
"1537","IPR011990","Tetratricopeptide-like helical domain superfamily"
"1524","IPR036397","Ribonuclease H superfamily"
"1512","IPR029062","Class I glutamine amidotransferase-like"
"1489","IPR000873","AMP-dependent synthetase/ligase"
"1469","IPR004358","Signal transduction histidine kinase-related protein, C-terminal"
"1446","IPR029016","GAF-like domain superfamily"
"1439","IPR023753","FAD/NAD(P)-binding domain"
"1437","IPR016039","Thiolase-like"
"1427","IPR042099","AMP-dependent synthetase-like superfamily"
"1395","IPR016163","Aldehyde dehydrogenase, C-terminal"
"1351","IPR029068","Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase"
"1268","IPR001036","Acriflavin resistance protein"
"1257","IPR036942","TonB-dependent receptor-like, beta-barrel domain superfamily"
"1244","IPR036866","Ribonuclease Z/Hydroxyacylglutathione hydrolase-like"
"1224","IPR004839","Aminotransferase, class I/classII"
"1206","IPR006059","Bacterial extracellular solute-binding protein"
"1189","IPR003959","ATPase, AAA-type, core"
"1163","IPR014721","Ribosomal protein S5 domain 2-type fold, subgroup"
"1110","IPR001647","DNA-binding HTH domain, TetR-type"
"1102","IPR000524","Transcription regulator HTH, GntR"
"1093","IPR003661","Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"
"1076","IPR005119","LysR, substrate-binding"
"1064","IPR000531","TonB-dependent receptor-like, beta-barrel"
"1059","IPR001650","Helicase, C-terminal"
"1027","IPR036812","NADP-dependent oxidoreductase domain superfamily"
"1025","IPR000073","Alpha/beta hydrolase fold-1"
"993","IPR036640","ABC transporter type 1, transmembrane domain superfamily"
"982","IPR001851","ABC transporter, permease"
"967","IPR029056","Ribokinase-like"
"964","IPR040442","Pyruvate kinase-like domain superfamily"
"958","IPR023210","NADP-dependent oxidoreductase domain"
"950","IPR011545","DEAD/DEAH box helicase domain"
"940","IPR007627","RNA polymerase sigma-70 region 2"
"936","IPR014284","RNA polymerase sigma-70 like domain"
"922","IPR012341","Six-hairpin glycosidase-like superfamily"
"915","IPR036661","Luciferase-like domain superfamily"
"908","IPR001387","Cro/C1-type helix-turn-helix domain"
"898","IPR029052","Metallo-dependent phosphatase-like"
"898","IPR001173","Glycosyltransferase 2-like"
"896","IPR013762","Integrase-like, catalytic domain superfamily"
"895","IPR037066","TonB-dependent receptor, plug domain superfamily"
"862","IPR000847","Transcription regulator HTH, LysR"
"861","IPR023393","START-like domain superfamily"
"858","IPR000683","Oxidoreductase, N-terminal"
"857","IPR006680","Amidohydrolase-related"
"842","IPR011042","Six-bladed beta-propeller, TolB-like"
"834","IPR012675","Beta-grasp domain superfamily"
"832","IPR000014","PAS domain"
"826","IPR012910","TonB-dependent receptor, plug domain"
"825","IPR006047","Glycosyl hydrolase, family 13, catalytic domain"
"814","IPR008920","Transcription regulator FadR/GntR, C-terminal"
"812","IPR013154","Alcohol dehydrogenase, N-terminal"
"811","IPR013328","6-phosphogluconate dehydrogenase, domain 2"
"795","IPR000795","Transcription factor, GTP-binding domain"
"794","IPR006076","FAD dependent oxidoreductase"
"792","IPR029055","Nucleophile aminohydrolases, N-terminal"
"790","IPR036514","SGNH hydrolase superfamily"
"788","IPR001279","Metallo-beta-lactamase"
"787","IPR017850","Alkaline-phosphatase-like, core domain superfamily"
"784","IPR015946","K homology domain-like, alpha/beta"
"772","IPR037069","Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily"
"765","IPR011711","GntR, C-terminal"
"764","IPR011059","Metal-dependent hydrolase, composite domain superfamily"
"759","IPR009075","Acyl-CoA dehydrogenase/oxidase C-terminal"
"745","IPR015943","WD40/YVTN repeat-like-containing domain superfamily"
"743","IPR011055","Duplicated hybrid motif"
"740","IPR005225","Small GTP-binding protein domain"
"739","IPR005814","Aminotransferase class-III"
"735","IPR002104","Integrase, catalytic domain"
"732","IPR013815","ATP-grasp fold, subdomain 1"
"732","IPR002933","Peptidase M20"
"730","IPR000644","CBS domain"
"728","IPR000843","LacI-type HTH domain"
"726","IPR007197","Radical SAM"
"725","IPR001926","Pyridoxal-phosphate dependent enzyme"
"717","IPR011251","Luciferase-like domain"
"715","IPR013149","Alcohol dehydrogenase, C-terminal"
"707","IPR011527","ABC transporter type 1, transmembrane domain"
"704","IPR008979","Galactose-binding-like domain superfamily"
"698","IPR000620","EamA domain"
"694","IPR027463","Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains"
"693","IPR000792","Transcription regulator LuxR, C-terminal"
"691","IPR001867","OmpR/PhoB-type DNA-binding domain"
"686","IPR000160","GGDEF domain"
"684","IPR000914","Solute-binding protein family 5 domain"
"681","IPR001753","Enoyl-CoA hydratase/isomerase"
"678","IPR012347","Ferritin-like"
"676","IPR005828","Major facilitator,  sugar transporter-like"
"670","IPR001296","Glycosyl transferase, family 1"
