"10733","IPR036388","Winged helix-like DNA-binding domain superfamily"
"6050","IPR029058","Alpha/Beta hydrolase fold"
"5896","IPR013785","Aldolase-type TIM barrel"
"5860","IPR003439","ABC transporter-like"
"5731","IPR036188","FAD/NAD(P)-binding domain superfamily"
"4844","IPR036890","Histidine kinase/HSP90-like ATPase superfamily"
"4530","IPR001789","Signal transduction response regulator, receiver domain"
"4411","IPR014729","Rossmann-like alpha/beta/alpha sandwich fold"
"3577","IPR015421","Pyridoxal phosphate-dependent transferase, major domain"
"3479","IPR011990","Tetratricopeptide-like helical domain superfamily"
"3384","IPR002347","Short-chain dehydrogenase/reductase SDR"
"3366","IPR003594","Histidine kinase/HSP90-like ATPase"
"3135","IPR029044","Nucleotide-diphospho-sugar transferases"
"3105","IPR015422","Pyridoxal phosphate-dependent transferase domain 1"
"2866","IPR036942","TonB-dependent receptor-like, beta-barrel domain superfamily"
"2697","IPR004358","Signal transduction histidine kinase-related protein, C-terminal"
"2686","IPR035906","MetI-like superfamily"
"2518","IPR011701","Major facilitator superfamily"
"2433","IPR000531","TonB-dependent receptor-like, beta-barrel"
"2369","IPR023214","HAD superfamily"
"2323","IPR017871","ABC transporter, conserved site"
"2317","IPR036397","Ribonuclease H superfamily"
"2158","IPR003661","Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"
"2145","IPR000873","AMP-dependent synthetase/ligase"
"2102","IPR000515","ABC transporter type 1, transmembrane domain MetI-like"
"2098","IPR014710","RmlC-like jelly roll fold"
"1998","IPR013783","Immunoglobulin-like fold"
"1986","IPR001036","Acriflavin resistance protein"
"1971","IPR000014","PAS domain"
"1924","IPR042099","AMP-dependent synthetase-like superfamily"
"1882","IPR000182","GNAT domain"
"1782","IPR013762","Integrase-like, catalytic domain superfamily"
"1751","IPR000073","Alpha/beta hydrolase fold-1"
"1734","IPR036866","Ribonuclease Z/Hydroxyacylglutathione hydrolase-like"
"1697","IPR016039","Thiolase-like"
"1649","IPR029068","Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase"
"1643","IPR029016","GAF-like domain superfamily"
"1623","IPR016162","Aldehyde dehydrogenase, N-terminal"
"1600","IPR015590","Aldehyde dehydrogenase domain"
"1573","IPR001647","DNA-binding HTH domain, TetR-type"
"1550","IPR012910","TonB-dependent receptor, plug domain"
"1540","IPR029062","Class I glutamine amidotransferase-like"
"1538","IPR023753","FAD/NAD(P)-binding domain"
"1534","IPR000160","GGDEF domain"
"1486","IPR011042","Six-bladed beta-propeller, TolB-like"
"1460","IPR037066","TonB-dependent receptor, plug domain superfamily"
"1374","IPR002104","Integrase, catalytic domain"
"1355","IPR001173","Glycosyltransferase 2-like"
"1338","IPR035919","EAL domain superfamily"
"1331","IPR037069","Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily"
"1330","IPR005119","LysR, substrate-binding"
"1314","IPR001650","Helicase, C-terminal"
"1298","IPR009075","Acyl-CoA dehydrogenase/oxidase C-terminal"
"1277","IPR001633","EAL domain"
"1233","IPR003959","ATPase, AAA-type, core"
"1208","IPR001279","Metallo-beta-lactamase"
"1201","IPR013786","Acyl-CoA dehydrogenase/oxidase, N-terminal"
"1170","IPR007627","RNA polymerase sigma-70 region 2"
"1157","IPR001753","Enoyl-CoA hydratase/isomerase"
"1148","IPR016163","Aldehyde dehydrogenase, C-terminal"
"1147","IPR006680","Amidohydrolase-related"
"1129","IPR027463","Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains"
"1129","IPR015943","WD40/YVTN repeat-like-containing domain superfamily"
"1127","IPR014284","RNA polymerase sigma-70 like domain"
"1121","IPR036909","Cytochrome c-like domain superfamily"
"1117","IPR004839","Aminotransferase, class I/classII"
"1111","IPR014721","Ribosomal protein S5 domain 2-type fold, subgroup"
"1105","IPR000847","Transcription regulator HTH, LysR"
"1066","IPR001851","ABC transporter, permease"
"1055","IPR010998","Integrase/recombinase, N-terminal"
"1054","IPR020904","Short-chain dehydrogenase/reductase, conserved site"
"1052","IPR012675","Beta-grasp domain superfamily"
"1041","IPR001296","Glycosyl transferase, family 1"
"1038","IPR040442","Pyruvate kinase-like domain superfamily"
"1037","IPR011059","Metal-dependent hydrolase, composite domain superfamily"
"1022","IPR029052","Metallo-dependent phosphatase-like"
"1021","IPR006091","Acyl-CoA oxidase/dehydrogenase, central domain"
"1020","IPR012347","Ferritin-like"
"1008","IPR001867","OmpR/PhoB-type DNA-binding domain"
"1001","IPR001387","Cro/C1-type helix-turn-helix domain"
"975","IPR001584","Integrase, catalytic core"
"970","IPR029055","Nucleophile aminohydrolases, N-terminal"
"960","IPR000792","Transcription regulator LuxR, C-terminal"
"956","IPR000086","NUDIX hydrolase domain"
"954","IPR000620","EamA domain"
"949","IPR003423","Outer membrane efflux protein"
"937","IPR036640","ABC transporter type 1, transmembrane domain superfamily"
"934","IPR007197","Radical SAM"
"908","IPR028098","Glycosyltransferase subfamily 4-like, N-terminal domain"
"895","IPR013154","Alcohol dehydrogenase, N-terminal"
"894","IPR001757","P-type ATPase"
"893","IPR017850","Alkaline-phosphatase-like, core domain superfamily"
"889","IPR011545","DEAD/DEAH box helicase domain"
"887","IPR008972","Cupredoxin"
"886","IPR036661","Luciferase-like domain superfamily"
"883","IPR025110","AMP-binding enzyme, C-terminal domain"
"875","IPR003018","GAF domain"
"873","IPR013249","RNA polymerase sigma factor 70, region 4 type 2"
"870","IPR011049","Serralysin-like metalloprotease, C-terminal"
"867","IPR029056","Ribokinase-like"
"867","IPR013656","PAS fold-4"
"864","IPR023393","START-like domain superfamily"
"858","IPR013815","ATP-grasp fold, subdomain 1"
"853","IPR012349","FMN-binding split barrel"
"842","IPR001466","Beta-lactamase-related"
"826","IPR000644","CBS domain"
"813","IPR013149","Alcohol dehydrogenase, C-terminal"
"810","IPR029026","tRNA (guanine-N1-)-methyltransferase, N-terminal"
"801","IPR001509","NAD-dependent epimerase/dehydratase"
"797","IPR036565","Mur-like, catalytic domain superfamily"
"795","IPR036691","Endonuclease/exonuclease/phosphatase superfamily"
"792","IPR004360","Glyoxalase/fosfomycin resistance/dioxygenase domain"
"787","IPR006076","FAD dependent oxidoreductase"
"777","IPR009056","Cytochrome c-like domain"
"776","IPR001926","Pyridoxal-phosphate dependent enzyme"
"773","IPR003660","HAMP domain"
"766","IPR011055","Duplicated hybrid motif"
"761","IPR015946","K homology domain-like, alpha/beta"
"758","IPR012902","Prokaryotic N-terminal methylation site"
"744","IPR011251","Luciferase-like domain"
"742","IPR004045","Glutathione S-transferase, N-terminal"
"739","IPR013655","PAS fold-3"
"739","IPR001343","RTX calcium-binding nonapeptide repeat"
"737","IPR000795","Transcription factor, GTP-binding domain"
"725","IPR001460","Penicillin-binding protein, transpeptidase"
"721","IPR002933","Peptidase M20"
"716","IPR006073","GTP binding domain"
"711","IPR005225","Small GTP-binding protein domain"
"708","IPR000551","MerR-type HTH domain"
"703","IPR038770","Sodium/solute  symporter  superfamily"
"699","IPR000835","MarR-type HTH domain"
"692","IPR001482","Type II/IV secretion system protein"
"687","IPR001451","Hexapeptide repeat"
"685","IPR032317","RND efflux pump, membrane fusion protein, barrel-sandwich domain"
"665","IPR008979","Galactose-binding-like domain superfamily"
"663","IPR011527","ABC transporter type 1, transmembrane domain"
"663","IPR006683","Thioesterase domain"
"660","IPR029039","Flavoprotein-like superfamily"
"659","IPR001845","HTH ArsR-type DNA-binding domain"
"656","IPR036812","NADP-dependent oxidoreductase domain superfamily"
"655","IPR013216","Methyltransferase type 11"
"654","IPR016040","NAD(P)-binding domain"
"653","IPR023299","P-type ATPase, cytoplasmic domain N"
"653","IPR001375","Peptidase S9, prolyl oligopeptidase, catalytic domain"
"652","IPR016169","FAD-binding, type PCMH, subdomain 2"
"651","IPR036514","SGNH hydrolase superfamily"
"647","IPR016047","Peptidase M23"
"645","IPR036615","Mur ligase, C-terminal domain superfamily"
"644","IPR017926","Glutamine amidotransferase"
"642","IPR001750","NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit"
"641","IPR036986","RNA-binding S4 domain superfamily"
"636","IPR036873","Rhodanese-like domain superfamily"
"634","IPR000192","Aminotransferase class V domain"
"633","IPR012341","Six-hairpin glycosidase-like superfamily"
"629","IPR036927","Cytochrome c oxidase-like, subunit I  superfamily"
"629","IPR029066","PLP-binding barrel"
"626","IPR023606","CoA-transferase family III domain superfamily"
"625","IPR013221","Mur ligase, central"
"622","IPR018060","DNA binding HTH domain, AraC-type"
"619","IPR000524","Transcription regulator HTH, GntR"
"618","IPR000914","Solute-binding protein family 5 domain"
"612","IPR013424","PEP-CTERM protein-sorting domain"
"610","IPR003673","CoA-transferase family III"
"609","IPR023210","NADP-dependent oxidoreductase domain"
"607","IPR006143","RND efflux pump, membrane fusion protein"
"603","IPR017896","4Fe-4S ferredoxin-type, iron-sulphur binding domain"
"601","IPR012334","Pectin lyase fold"
"600","IPR002524","Cation efflux protein"
"599","IPR036162","Resolvase-like, N-terminal catalytic domain superfamily"
"599","IPR009014","Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II"
"598","IPR005814","Aminotransferase class-III"
"597","IPR027469","Cation efflux transmembrane domain superfamily"
"597","IPR004843","Calcineurin-like phosphoesterase domain, ApaH type"
"589","IPR005835","Nucleotidyl transferase domain"
"584","IPR020616","Thiolase, N-terminal"
"582","IPR029033","Histidine phosphatase superfamily"
"581","IPR006119","Resolvase, N-terminal catalytic domain"
"579","IPR005490","L,D-transpeptidase catalytic domain"
"577","IPR024079","Metallopeptidase, catalytic domain superfamily"
"577","IPR006047","Glycosyl hydrolase, family 13, catalytic domain"
"570","IPR013328","6-phosphogluconate dehydrogenase, domain 2"
"561","IPR000089","Biotin/lipoyl attachment"
"560","IPR036396","Cytochrome P450 superfamily"
"560","IPR002078","RNA polymerase sigma factor 54 interaction domain"
"559","IPR006153","Cation/H+ exchanger"
"553","IPR000719","Protein kinase domain"
"551","IPR036928","Amidase signature (AS) superfamily"
"548","IPR002300","Aminoacyl-tRNA synthetase, class Ia"
"544","IPR013078","Histidine phosphatase superfamily, clade-1"
"544","IPR002781","Transmembrane protein TauE-like"
"544","IPR001763","Rhodanese-like domain"
